ID,SPEAKER,CONVERSATION,,ENGLISH,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL),CHINESE (SIMPLIFIED)
290,PC,Laboratory Midpoint,,Proceed with caution.,Soyez prudente.,Sei ab jetzt vorsichtig.,Prosigue con cautela.,Prossiga com cautela.,Просим вас соблюдать особую осторожность.,用心して進みなさい。,조심해서 나아가세요.,请务必小心谨慎。,請務必謹慎小心。,请务必谨慎小心。
291,Mouse,Final Boss Intro,,"Well, well, well.  If it isn't my feline foe.",Tiens donc.  Ne serait-ce pas là mon ennemie à fourrure ?,Sieh mal einer an.  Wenn das nicht mein katzenhafter Kontrahent ist.,"Bueno, bueno, bueno.  Pero si es mi enemiga felina.","Ora, ora, ora.  Se não é minha inimiga felina.",Вот так-так.  Это же моя немезида из рода кошачьих.,これはこれは、わが宿敵たる ネコちゃんではないか。,"이런, 이런, 이런.  나의 고양이 적 아니신가.",呦，呦，呦。这不是我的天敌猫吗。,哎呦呦。這不是我貓鼠遊戲中的死對頭嘛。,哎呦呦。这不是我猫鼠游戏中的死对头嘛。
292,,Final Boss Intro,,Don't be smug.  I have you exactly where I want you.,Ne sois pas si arrogante.  Tu es exactement là où je voulais que tu sois.,"Sei nicht so selbstgefällig.  Ich habe dich genau da, wo ich dich haben will.",No te confíes.  Te tengo justo donde quería.,Pode parar de contar vantagem.  Você está exatamente onde eu quero.,Не задирай нос.  Ты угодила в мою ловушку.,調子にのるな。すべてはわたしの 計画どおりだ。,의기양양한 것도 이제 끝이다.  너를 이곳으로 몰아넣었으니 말이야!,别高兴得太早。你的一举一动都在我掌握中。,別得意太早。你的一舉一動都盡在我掌握之中。,别得意太早。你的一举一动都尽在我掌握之中。
293,Mouse,Final Boss Intro,,Or haven't you realized?,Tu ne t'en es pas rendu compte ?,Oder hast du es nicht verstanden?,¿O no te has dado cuenta?,Ou não se deu conta ainda?,Неужели ты так и не поняла?,気づいてないか？,아니면 아직 깨닫지 못한 건가?,难道你还没意识到吗？,你難道沒有意識到嗎？,你难道没有意识到吗？
294,,Final Boss Intro,,"All of these challenges you have been through,","Tous les défis que tu as relevés,","All die Herausforderungen, die du gemeistert hast,","Todos esos desafíos que has superado,","Todos esses desafios que você enfrentou,","Все эти испытания, все эти битвы,",今までおまえが乗り越えてきた試練や、,네가 겪은 모든 도전들은 말이지...,你完成的所有挑战，,你之前完成的層層挑戰，,你之前完成的层层挑战，
295,Mouse,Final Boss Intro,,all of the adversity you have overcome...,tous les pièges que tu as déjoués...,"alle Widrigkeiten, die du überwunden hast ...",todas las adversidades a las que te has enfrentado...,e obstáculos que você superou...,весь этот сонм препятствий...,おまえが打ち倒してきた敵はすべて...,네가 극복한 모든 역경들은 말이야...,克服的所有困境……,擊敗過的一個個敵人...,击败过的一个个敌人...
296,Mouse,Final Boss Intro,,"Those were but a series of experiments,",Tout ça n'était qu'une série de tests,"Sie waren nur eine Reihe von Experimenten,",Solo eran una serie de experimentos,"Eram uma série de experimentos,","Все это было экспериментом, призванным выяснить,",おまえが優れた器か見さだめるための...,단지 일련의 실험일 뿐이었어.,都只是一系列实验而已，,它們只不過是一系列實驗，,它们只不过是一系列实验，
297,,Final Boss Intro,,to see if you'd make a viable vessel...,pour déterminer si tu ferais un hôte convenable...,"die zeigen sollten, ob du ein geeignetes Gefäß abgeben würdest ...",para ver si eras un recipiente adecuado...,para verificar se você era um receptáculo viável...,подойдешь ли ты на роль сосуда...,実験にすぎなかったのだ。,네가 그릇의 자질이 있는지 확인해보고자 말이지...,目的是为了测试你作为容器是否合格……,測試你作為宿主是否合格...,测试你作为宿主是否合格...
298,Mouse,Final Boss Intro,,"And you've proven to be... Very strong, and very resilient.",Et tu as prouvé ta valeur. Tu es forte et résistante.,Und du hast dich als ... sehr stark und widerstandsfähig erwiesen.,Y has demostrado ser... muy fuerte y resistente.,E você provou ser... Muito forte e muito resiliente.,"И твое тело, должен признать... Очень сильное, очень крепкое.",そしておまえは強い体と...折れない心を証明してみせた。,"그리고 너는 증명했어... 아주 강하고, 굳센 정신력을 지니고 있어.",结果证明……你很强大，很有韧性。,最終結果表示...你很強大，很有韌性。,最终结果表示...你很强大，很有韧性。
299,Mouse,Final Boss Intro,,"You will make the perfect host for my poor, dying dog, Barkley.","Tu feras un hôte parfait pour mon pauvre chien, Barkley.","Du wirst der ideale Wirt für meinen armen Hund Barkley, der im Sterben liegt.","Serás el receptáculo perfecto para Rufo, mi pobre perro moribundo.","Você será o receptáculo perfeito para o meu pobre cão moribundo, o Ralf.","Ты идеально подходишь для того, чтобы вместить сознание бедного Тяфки.",死にかけているわが愛犬、バウディの 完ぺきなホストとなれよう。,"너라면 나의 불쌍한 죽어가는 개, 멍뭉이를 위한 완벽한 그릇이 될 수 있겠어.",你可以成为我那濒死的可怜狗狗，巴科利的完美宿主。,你能為我可憐的、奄奄一息的狗狗汪科利當一個完美的宿主。,你能为我可怜的、奄奄一息的狗狗汪科利当一个完美的宿主。
300,Mouse,Final Boss Intro,,"He's sick, you see, and has been for a long time.",Il est malade depuis très longtemps.,"Er ist schon seit Langem krank, weißt du.",Está enfermo desde hace mucho tiempo.,"Ele está doente, sabe, já faz muito tempo.","Тяфка неизлечимо болен, видишь ли, давно уже болен.",バウディはずっと前から病気でな。,"멍뭉이는 몸이 안 좋고, 나이도 많이 먹었거든.",如你所见，他病了，病了很久。,他病了，你懂吧？病了好久了。,他病了，你懂吧？病了好久了。
301,Mouse,Final Boss Intro,,"I've been preserving his life in a Hydroglobular Tube, but...","Je l'ai maintenu en vie dans un tube hydroglobulaire, mais...","Ich habe ihn in einer hydroglobulären Röhre am Leben erhalten, doch ...","He preservado su vida en un tubo hidroglobular, pero...","Tentei mantê-lo vivo em um Tubo Hidroglobular, mas...","Я поддерживаю в нем подобие жизни, поместив в гидроглобулярную колбу, но...",培養チューブで延命をはかってきたが...,내가 그 생명을 생체 보존관에 보존해왔지만...,一直以来我都把他放在柱形水培管里延续生命，但……,我一直把他存放在水文球形管中延續生命，但是...,我一直把他存放在水文球形管中延续生命，但是...
302,Mouse,Final Boss Intro,,"I knew sooner or later, that wouldn't be enough.","Je savais que tôt ou tard, il faudrait que je trouve une autre solution.","ich wusste, dass das früher oder später nicht reichen würde.","Sabía que, tarde o temprano, eso no sería suficiente.","Eu sabia que, mais cedo ou mais tarde, não seria o suficiente.",Однажды искра его жизни угаснет.,恐れていたとおり、十分ではなかった。,조만간 이것도 충분하지 않으리라는 걸 알았어.,我知道迟早有一天，这些方法都会失效。,我知道早晚有一天，這些方法都會失效。,我知道早晚有一天，这些方法都会失效。
303,Mouse,Final Boss Intro,,It wouldn't be enough...,Une autre solution...,Es würde nicht reichen ...,No sería suficiente...,Não seria o suficiente...,Однажды он умрет...,十分では...,충분하지 않았어...,都会失效……,怎麼也不夠...,怎么也不够...
304,Mouse,Final Boss Intro,,It wouldn't be ENOUGH!,Une autre solution !,Es würde nicht REICHEN ...,¡No sería SUFICIENTE!,Não seria o SUFICIENTE!,Он УМРЕТ!,なかったのだ！,충분하지 않았지!,都会失效啊！,怎麼也永遠不會夠！,怎么也永远不会够！
305,Mouse,Final Boss Intro,,So I accessed the military database and found you and Gary.,J'ai donc infiltré la base de données militaire et je vous ai trouvés.,Also habe ich auf die Militärdatenbank zugegriffen und dich und Gary gefunden.,Así que accedí a la base de datos militar y os encontré a Gary y a ti.,Então eu acessei o banco de dados militar e achei você e o Gary.,Поэтому я прошерстил армейскую базу данных и нашел вас с Гэри.,そこで軍のデータベースへ侵入し、 おまえとゲイリーを見つけた。,그래서 나는 군사 데이터베이스에 접속해서 너와 게리를 찾아냈어.,所以我就入侵了军队的数据库，并发现了你和盖瑞。,所以我侵入了軍用資料庫，找到了你和蓋瑞。,所以我侵入了军用数据库，找到了你和盖瑞。
306,Mouse,Final Boss Intro,,"Both suitable hosts for me, and for Barkley.",Gary et toi étiez les hôtes parfaits pour Barkley et moi.,Ihr beide seid geeignete Wirte für mich und für Barkley.,Receptáculos adecuados para mí y para Rufo.,Vocês dois são receptáculos ideais para mim e para o Ralf.,Идеальные донорские тела для нас с Тяфкой.,わたしとバウディ、 どちらにとっても適格なホストを。,둘 다 나와 멍뭉이를 위한 그릇이 되기에 알맞았지.,你们简直是我和巴科利最完美的宿主。,你們簡直是我和汪科利最合適的宿主了。,你们简直是我和汪科利最合适的宿主了。
307,Mouse,Final Boss Intro,,"Won't be laughing NOW, will you?","Alors, toujours envie de rire ?","JETZT ist dir das Lachen wohl vergangen, was?","AHORA no os reís, ¿verdad?","Não está mais rindo AGORA, não é?","Хорошо смеется тот, кто смеется последним, а?",笑ってしまうだろう？,이제 못 웃겠지?,现在笑不出来了，对吧？,現在你可笑不出來了，是不是？,现在你可笑不出来了，是不是？
308,Mouse,Final Boss Intro,,When I have the body of a soldier and the mind of...,Lorsque j'aurai le corps d'un soldat et le cerveau de...,Wenn ich den Körper eines Soldaten habe und den Geist von ...,Cuando tenga el cuerpo de un soldado y la mente de...,Quando eu tiver o corpo de um soldado e a mente de...,Теперь у меня будет тело солдата и мозг...,兵士の肉体と...,내가 군인의 몸과...,当我拥有军人的身体，以及……,當我擁有了軍人的軀體，意識又是...,当我拥有了军人的躯体，意识又是...
309,Mouse,Final Boss Intro,,Someone who has killed...So many people...,De quelqu'un qui a tué... tellement de gens...,"jemandem, der ... so viele Menschen getötet hat ...",Alguien que ha matado... a tanta gente...,Alguém que já matou... tanta gente...,Мозг убийцы... Я ведь стольких...,大勢を...殺してきた者の心が...,수많은 사람을 죽인 자의 마음을 가지게 된다면...,杀生无数的……意志……,又是個殺人如麻之人...手上無數條人命...,又是个杀人如麻之人...手上无数条人命...
310,Mouse,Final Boss Intro,,So many...,Tellement...,so viele ...,A tanta...,Tanta...,Стольких убил...,ひとつになるのだ...,수많은 사람을...,无数……,無數條...,无数条...
311,Mouse,Final Boss Intro,,Imagine my DELIGHT when I discovered...,Imagine mon bonheur quand j'ai vu,"Stell dir vor, wie ERFREUT ich war, als ich herausfand ...",Imaginad mi REGOCIJO cuando descubrí...,Imagine minha ALEGRIA quando eu descobri...,"О, как же я был СЧАСТЛИВ...",ゲイリーが巡回で近くを通ると 知ったとき...,게리의 순찰 경로가 이 구역을 통과한다는 걸 알게 됐을 때,想象下当我发现盖瑞的巡逻路线正好在这片区域时……,想像一下我有多快樂，當我發現了...,想象一下我有多快乐，当我发现了...
312,Mouse,Final Boss Intro,,that Gary's patrol route was in this sector!,que Gary allait passer dans ce secteur !,dass Garys Patrouille ihn durch diesen Sektor führt!,¡que la ruta de patrulla de Gary estaba en este sector!,que a rota de patrulha do Gary passava por este setor!,"Когда узнал, что Гэри будет патрулировать этот сектор!",わたしはうれしくて叫んだよ！,얼마나 기뻤는지 몰라...,我有多么地高兴！,蓋瑞的巡邏路線剛好經過這片區域！,盖瑞的巡逻路线刚好经过这片区域！
313,Mouse,Final Boss Intro,,"I repaired the Galactic Broadcaster,",J'ai réparé le transmetteur galactique,Ich habe den galaktischen Sender repariert,Reparé el transmisor galáctico,"Eu consertei o Transmissor Galáctico,","Я починил межгалактический передатчик,",そこで発信機を修理し...,"난 은하 방송 수신기를 수리해서,",我修好了星际广播器，,我修好了星際廣播器，,我修好了星际广播器，
314,Mouse,Final Boss Intro,,"and sent out a security alert,",et j'ai envoyé une alerte de sécurité.,und eine Sicherheitswarnung gesendet.,"y envié una alerta de seguridad,","e enviei um alerta de segurança,","отправил С.О.С.,",SOSを送ったのだ。,보안 경보를 보냈어.,发出了安全警报，,發送了一條安全警告，,发送了一条安全警告，
315,Mouse,Final Boss Intro,,and then...,Ensuite...,Und dann ...,y entonces...,e então...,и...,そしたら...,그리고...,然后……,然後...,然后...
316,Mouse,Final Boss Intro,,You imbeciles crashed your ship right into my backyard.,Vous avez été assez idiots pour vous écraser juste à côté d'ici.,habt ihr Schwachköpfe eine Bruchlandung in meinem Hinterhof hingelegt.,Estrellasteis vuestra nave en mi patio trasero como dos imbéciles.,"Vocês, imbecis, caíram direitinho na minha armadilha.","И вы, несчастные идиоты, попали прямо ко мне в лапы.",愚かなおまえたちが、わが裏庭に 落っこちてきた。,너희 멍청이들이 내 뒤뜰에 우주선을 들이박았지.,你们俩个蠢货就坠船到我后院来了。,你們兩個傻子直接開船撞上了我的後院。,你们两个蠢货直接开船砸到了我的后院儿里。
317,Mouse,Final Boss Intro,,Leave it to a dim-wit soldier to pin himself inside his own ship.,"Il a fière allure, le soldat coincé dans son vaisseau.",Natürlich klemmt sich der schwachköpfige Soldat in seinem eigenen Schiff ein.,Solo un soldado zoquete se quedaría encerrado en su propia nave.,Só mesmo um soldado estúpido conseguiria ficar preso dentro da própria nave.,Этот неандерталец даже из корабля выбраться не сумел.,マヌケな兵士は船内に囚われていたが...,멍청하게도 게리는 자신의 배 안에 갇히고 말았지만.,只留下那个蠢货士兵困在自己船里动弹不得。,只留下那個半吊子士兵被困在自己的船裡動彈不得。,只留下那个半吊子士兵被困在自己的船里动弹不得。
318,Mouse,Final Boss Intro,,Luckily his body wasn't damaged too much.,Heureusement que son corps n'a pas trop souffert.,Glücklicherweise wurde sein Körper dabei nicht all zu stark beschädigt.,"Por suerte, su cuerpo no sufrió muchos daños.","Felizmente, ainda é possível aproveitar o corpo dele.","Хорошо еще, что не покалечился в процессе.",さいわい軽傷だった。,다행히도 게리의 몸이 너무 심하게 다치진 않았어.,幸好他身体没受太多损伤。,幸好他的身體沒受到太多損傷。,幸好他的身体没受到太多损伤。
319,Mouse,Final Boss Intro,,"Now I am going to transfer my consciousness into Gary's body,","Maintenant, je vais transférer ma conscience dans le corps de Gary",Ich werde nun mein Bewusstsein in Garys Körper übertragen,Ahora voy a transferir mi consciencia al cuerpo de Gary,"Agora vou transferir minha consciência para o corpo do Gary,","Узри же, как я переношу свой разум в тело Гэри,",今からわが意識をゲイリーの肉体へ 転送し、,이제 나는 내 의식을 게리의 몸으로 옮길 거야.,现在我要把自己的意识传进盖瑞身体里，,我現在要把我的意識傳送進蓋瑞的身體，,我现在要把我的意识传送进盖瑞的身体，
320,Mouse,Final Boss Intro,,and FINALLY be rid of this pathetic form.,et me débarrasser ENFIN de cette enveloppe minable.,und ENDLICH diese armselige Form loswerden.,y POR FIN me libraré de esta forma patética.,e FINALMENTE vou me livrar desta forma patética.,"узри, как я отвергаю свое нынешнее тело.",この哀れな姿とたもとを分かつ。,드디어 이 한심한 모습에서 벗어날 수 있는 거지.,我终于能摆脱这可悲的肉体了。,終於可以擺脫這可悲的肉體了。,终于可以摆脱这可悲的肉体了。
321,Mouse,Final Boss Intro,,"Then, I am going to do the same for Barkley with yours!","Ensuite, je ferai la même chose avec Barkley et toi !",Danach werde ich mit deinem Körper dasselbe für Barkley tun!,¡Y luego haré lo mismo con Rufo y tú!,"Em seguida, farei o mesmo com o Ralf e o seu corpo!",А потом я поменяю местами вас с Тяфкой!,その次は、おまえを使って バウディを救うのだ！,"내가 끝나면, 그 다음은 똑같이 멍뭉이의 의식을 네 몸으로 옮길 테다!",同样地，我还要把巴科利的意识放进你身体里！,然後，我還要把汪科利的意識放你身體裡！,然后，我还要把汪科利的意识放你身体里！
322,Mouse,Final Boss Intro,,Everyone is gonna regret degrading me...,Je leur ferai regretter ce qu'ils m'ont fait subir...,"Sie werden es alle bereuen, dass sie mich erniedrigt ...",Todos lamentarán haberme degradado...,Todos irão se arrepender de terem me subestimado...,"Все еще пожалеют, что смеялись надо мной...",みんな後悔するがいい、 わたしを見下し...,모두가 날 모욕하고...,所有人都会后悔当初降我职……,所有人都會後悔當初降了我的職...,所有人都会后悔当初降了我的职...
323,Mouse,Final Boss Intro,,and treating me like a filthy rat.,Ils m'ont traité comme une vermine.,und mich wie eine dreckige Ratte behandelt haben.,y haberme tratado como a una rata asquerosa.,e de me tratarem como um rato imundo.,"Я им покажу, кто здесь крыса.",汚いネズミのように扱ったことを。,추잡한 쥐 취급한 걸 후회하게 될 거야.,并把我当作脏耗子来看待。,把我當骯髒的老鼠看待。,把我当肮脏的耗子看待。
324,Kiki,Final Boss Intro,,MEOW!?,MIAOU ?,MIAU?!,¡¿MIAU?!,MIAU?!,МЯЯЯЯ!?,みゃおん！？,야옹!?,喵！？,喵喵喵！？,喵喵喵！？
325,Mouse,Final Boss Intro,,"Why am I doing this, you ask?",Tu te demandes pourquoi je fais ça ?,"Warum ich das mache, fragst du?",¿Que por qué estoy haciendo esto?,"Por que estou fazendo isso, você deve estar se perguntando.","Возможно, ты хочешь спросить, зачем мне все это.",なぜ、こんなことをするのかって？,왜 이런 짓을 하냐고 묻는 건가?,你问我为什么要这么做？,你問我為什麼這麼做？,你问我为什么这么做？
326,Mouse,Final Boss Intro,,...,...,...,...,...,...,...,...,……,...,...
327,Mouse,Final Boss Intro,,I can't even remember anymore.,Je ne m'en souviens même plus.,Ich kann mich nicht mal mehr daran erinnern.,Ya ni siquiera lo recuerdo.,Nem me lembro mais.,Но я уже и сам не помню.,もはや、何も、思い出せん。,이제 기억도 안 나는군.,我自己都记不起来了。,我自己都記不起來了。,我自己都记不起来了。
328,Evil Gary,Final Boss Midpoint,,There you are... Kiki.,Te voilà... Kiki.,Da bist du ... Kiki.,Ahí estás... Kiki.,Aí está você... Kiki.,"Что ж, Кики.",おまえか...キキ。,거기 있구나... 나비야.,你在这啊……琪琪。,你在這裡啊...琪琪。,你在这儿啊...琪琪。
329,Evil Gary,Final Boss Midpoint,,Well...  See that tube above?,"Alors...  Tu vois ce tube, là-haut ?",Also gut ...  Siehst du diese Röhre da oben?,Bueno...  ¿Ves ese tubo de ahí arriba?,Bem...  Está vendo o tubo aí em cima?,"Видишь...  Видишь эту колбу, там, наверху?",さて...あのチューブが見えるか？,자...  위에 관이 보이니?,呵……看到头上的管子没？,嗯...看見上面的管子沒？,唔...看见上头的管子没？
330,Evil Gary,Final Boss Midpoint,,That's where you'll go for your final rest.,C'est là que tu vas aller pour ton dernier repos.,Dort wirst du deine letzte Ruhe finden.,Ahí es donde encontrarás el descanso eterno.,É dentro dele que você vai tirar sua soneca final.,В ней ты и уснешь навсегда.,おまえが最後に眠る場所だ。,그곳에서 네 마지막 안식을 취하게 될 거다.,你最后就就会沉眠在那里。,你最後就會安息在那裡。,你最后就会安息在那里。
331,Evil Gary,Final Boss Midpoint,,Tired yet?,Tu n'es pas fatiguée ?,Bist du schon müde?,¿Estás cansada?,Já se cansou?,"Ты же устала, наверное?",疲れたか？,아직 안식을 취하기엔 안 피곤하다고?,累了没？,累了嗎？,累了没？
332,Evil Gary,Final Boss Midpoint,,You think you've beaten me?,Tu penses m'avoir vaincu ?,"Glaubst du etwa, du hast mich geschlagen?",¿Crees que me has vencido?,Acha que me venceu?,"Неужели ты думаешь, что победишь меня?",わたしに勝ったと？,네가 날 쓰러뜨렸다고 생각하는 거야?,你以为自己打败了我？,你以為你打敗我了？,你以为你打败我了？
333,Evil Gary,Final Boss Midpoint,,Ha.  Like I even need a Mech...,Ha.  Comme si j'avais besoin d'une combinaison...,Ha.  Als ob ich einen Mech brauchen würde ...,Ja.  Como si necesitara un meca...,Ha.  Eu nem preciso de uma armadura robótica...,Ха.  Мне не нужен робот...,ハッ。もはやマシンも必要ない...,하.  메크 따위가 뭐 대수라고...,哈。说得我好像真需要机甲似的……,哈。就好像我真需要一架機甲一樣...,哈。就好像我真需要一架机甲一样...
334,Evil Gary,Final Boss Midpoint,,"With this sweet physique... and opposable thumbs,","Avec ce corps... et ces pouces opposables,",Mit dieser vorzüglichen Statur ... und opponierbaren Daumen,"Con este cuerpo tan estupendo... y pulgares oponibles,","Com este físico tremendo... e polegares opositores,",Ведь у меня есть мощное тело и противостоящие большие пальцы.,このたくましい体と...器用な指が あれば...,이 멋진 몸에... 엄지 손가락 두 개만 있어도 충분한데 말이야...,瞧这健壮的体格……和灵活的手指，,瞧瞧這健美的體格...以及能抓握的拇指，,瞧瞧这健美的体格...以及能抓握的拇指，
335,Evil Gary,Final Boss Midpoint,,I'll take you out the old fashioned way.,je vais pouvoir t'éliminer à l'ancienne.,werde ich dich auf die altmodische Art erledigen.,acabaré contigo a la antigua usanza.,eu acabarei com você à moda antiga.,Я легко сокрушу тебя и так.,おまえをぶちのめすには十分だ。,오랜 방식으로 널 저 관에 넣어주마.,我会用传统的方式来击败你。,我將以傳統的方式打敗你。,我将以传统的方式打败你。
336,Evil Gary,Final Boss Midpoint,,Say hello to my latest multi-gun.,Je te présente mon dernier joujou.,Sag Hallo zu meiner neuesten Multigun.,Dile hola a mi última multiarma.,Diga olá para minha nova multiarma.,"Поздоровайся с моим новейшим изобретением, мультипушкой.",わが新型マルチガンにあいさつを。,내 최신형 멀티건에게 인사나 하라고.,和我最新产品多功能炮说声好吧。,跟我的最新產品多功能槍打個招呼吧。,跟我的最新产品多功能炮打个招呼吧。
337,Evil Gary,Final Boss Midpoint,,"Might as well say goodbye too, while you're at it.","Pour tout te dire, je crois qu'il est temps de se dire adieu.","Verabschiede dich doch auch gleich, wenn du schon dabei bist.","Y ya que estás, también deberías decirle adiós.","É melhor já ir dizendo adeus, também.",И заодно сразу попрощайся с жизнью.,ついでに別れも言っておけ！,"인사하는 김에, 작별 인사까지 하고 말이야.",也别忘了说声拜。,順便也告個別。,顺便也告个别。
338,Evil Gary,Final Boss Outro,,"This is it, cat.","C'est fini, petite chatte.","Das war's, Katze.","Se acabó, gata.","Chegou a hora, felina.","Тебе конец, кошка.",終わりだ、ネコよ。,"이제 끝이다, 고양이.",到此为止吧，猫。,就到這裡了，貓咪。,就到这儿了，破猫。
339,Evil Gary,Final Boss Outro,,You have no choice but to surrender.,"Tu es coincée, tu devrais te rendre.","Dir bleibt nichts anderes übrig, als dich zu ergeben.",No tienes más opción que rendirte.,Sua única opção é se render.,Сдавайся.,おとなしく降参しろ。,네가 가진 선택권이라곤 항복뿐이야.,除了投降你别无选择。,你別無選擇，只能投降。,你别无选择，只能投降。
340,Evil Gary,Final Boss Outro,,Your vessel has been damaged enough.,Ton enveloppe a été suffisamment endommagée.,Das Gefäß wurde schon genug beschädigt.,Tu receptáculo ha sufrido muchos daños.,Seu receptáculo já foi muito danificado.,"Сдавайся, пока твое тело не получило критических повреждений.",おまえの器はもう、傷だらけなのだ。,네 메크는 이미 충분히 망가졌어.,你的容器已经变得破烂不堪了。,你的盔甲已經破爛不堪了。,你的盔甲已经破烂不堪了。
341,PC,Final Boss Outro,,ALERT...,ALERTE...,ALARM ...,ALERTA...,ALERTA...,ТРЕВОГА...,警告、警告...,경고...,警告……,警告...,警告...
342,PC,Final Boss Outro,,Disturbance detected.,Perturbation détectée.,Störung entdeckt.,Perturbación detectada.,Distúrbio detectado.,Ситуация требует вмешательства.,戦闘が発生しています。,소란이 감지되었습니다.,检测到干扰。,檢測到干擾。,检测到干扰。
343,Evil Gary,Final Boss Outro,,"Computer, don't interrupt me. The situation is under control.","Ordinateur, ne m'interromps pas. La situation est sous contrôle.","Unterbrich mich nicht, Computer. Die Situation ist unter Kontrolle.","Computadora, no me interrumpas. La situación está controlada.","Computador, não me interrompa. A situação está sob controle.",Ситуация не требует вмешательства. Я более чем ее контролирую.,ジャマするな、コンピュータ。 すべて予定どおりだ。,"컴퓨터, 날 방해하지 마. 통제 하에 있는 상황이니까.",电脑，别来打扰我。状况还在我控制中。,電腦，別來打擾我。一切都在控制中。,电脑，别来打扰我。一切都在控制中。
344,PC,Final Boss Outro,,Enter passcode to release Hydroglobular Tubes.,Saisissez le mot de passe pour libérer les tubes hydroglobulaires.,Zur Freigabe der hydroglobulären Röhren bitte das Passwort eingeben.,Introduce la contraseña para liberar los tubos hidroglobulares.,Insira a senha para liberar os Tubos Hidroglobulares.,Для открытия гидроглобулярной колбы требуется пароль.,培養チューブを開放する パスワードをどうぞ。,생체 보존관을 해제하려면 암호를 입력해주세요.,请输入通行码以释放柱形水培管。,請輸入密碼以打開水文球形管。,请输入密码以释放水文球形管。
345,Evil Gary,Final Boss Outro,,ENOUGH! Your assistance is not required here.,ÇA SUFFIT ! Je n'ai pas besoin de toi.,GENUG! Deine Hilfe wird hier nicht gebraucht.,¡BASTA! Aquí no necesito tu ayuda.,JÁ BASTA! Sua ajuda não é necessária aqui.,"ХВАТИТ! Мне не нужна твоя помощь, компьютер!",やめろ！おまえの助けは必要ない。,방해하지 마! 지금 네 도움은 필요 없어.,够了！这里不需要你的协助。,夠了！我不需要你幫我。,够了！我不需要你帮我。
346,PC,Final Boss Outro,,Incorrect.,Incorrect.,Inkorrekt.,Incorrecto.,Incorreto.,Неверный пароль.,一致しません。,틀렸습니다.,错误。,錯誤。,错误。
347,PC,Final Boss Outro,,Please enter passcode.,Veuillez saisir le mot de passe.,Bitte das Passwort eingeben.,"Por favor, introduce la contraseña.",Insira a senha.,Введите пароль.,パスワードを入力してください。,암호를 입력해주세요.,请输入通行码。,請輸入密碼。,请输入密码。
348,Kiki,Final Boss Outro,,Meow...,Miaou...,Miau ...,Miau...,Miau...,Мяфф...,にゃおん...,야옹...,MIAO……,miao...,miao...
349,PC,Final Boss Outro,,Correct.,Correct.,Korrekt.,Correcto.,Correto.,Верный пароль.,正解よ。,암호가 올바릅니다.,正确。,正確。,正确。
350,PC,Final Boss Outro,,Releasing Hydroglobular Tubes.,Libération des tubes hydroglobulaires.,Hydroglobuläre Röhren werden freigegeben.,Liberando los tubos hidroglobulares.,Liberando Tubos Hidroglobulares.,Гидроглобулярная колба открыта.,培養チューブを開放します。,생체 보존관을 개방합니다.,正在释放柱形水培管。,正在打開水文球形管.,正在释放水文球形管.
351,Evil Gary,Final Boss Outro,,B-b-barkley!,B... Barkley !,B-b-barkley!,¡Ru-Ru-Rufo!,R-r-ralf!,Тяфка!,バ、バ、バウディ！,"머, 머, 멍뭉아!",巴、巴、巴科利！,汪—汪—汪科利！,汪—汪—汪科利！
352,Evil Gary,Final Boss Outro,,"You need to to stay in the tube, your condition is unstable.","Reste dans ton tube, ton état n'est pas assez stable.",Du musst in der Röhre bleiben. Dein Zustand ist nicht stabil.,"Tienes que quedarte en el tubo, tu condición es inestable.","Você precisa ficar dentro do tubo, sua condição de saúde é instável.","Не ходи, ты очень нездоров, тебе нельзя.",出てはいけない、死んでしまうぞ！,"튜브 안에 있으렴, 네 상태는 불안정하단다.",你得待在管子里，你的状况还不太稳定。,你得待在管子裡，你的狀況太不穩定了。,你得待在管子里，你的状况太不稳定了。
353,Barkley,Final Boss Outro,,GGGGRRRRRR....,GGGGRRRRRR...,GGGGRRRRRR ...,GGGGRRRRRR...,GGGGRRRRRR....,Р-Р-Р-Р-Р-Р...,ガルルルルルルル...,그르르르르렁....,呜呜呜呜呜……,嗚嗚嗚嗚嗚...,呜呜呜呜呜...
354,Evil Gary,Final Boss Outro,,"Barkley, why?  Do you not recognize me?","Barkley, qu'est-ce qui te prend ?  Tu ne me reconnais pas ?","Wieso, Barkley?  Erkennst du mich nicht?","Rufo, ¿por qué?  ¿No me reconoces?","Ralf, por quê?  Não está me reconhecendo?","Что ты делаешь, Тяфка?  Ты меня не узнал?",バウディ、どうした？ わたしがわからないのか？,"멍뭉아, 왜?  나를 못 알아보는 거니?",巴科利，为什么？你不认得我了吗？,汪科利，為什麼？你不認得我了嗎？,汪科利，为什么？你不认得我了吗？
355,Evil Gary,Final Boss Outro,,It's me!,C'est moi !,Ich bin es!,¡Soy yo!,Sou eu!,Это же я!,わたしだ！,나야!,是我啊！,是我啊！,是我啊！
356,Barkley,Final Boss Outro,,Bark bark bark!,"Ouaf, ouaf, ouaf !",Wuff wuff wuff!,"¡Guau, guau, guau!",Ralf ralf ralf!,Вуф-вуф! Вуф!,バウバウバウ！,멍 멍 멍!,汪、汪、汪！,汪汪汪！！,汪汪汪！！
